timestamp,ac_id,current_temp
2026-02-14 09:00:00,F1-AC1,21.89
2026-02-14 09:00:05,F1-AC1,22.03
2026-02-14 09:00:10,F1-AC1,22.06
2026-02-14 09:00:15,F1-AC1,22.1
2026-02-14 09:00:20,F1-AC1,22.08
2026-02-14 09:00:25,F1-AC1,21.95
2026-02-14 09:00:30,F1-AC1,22.11
2026-02-14 09:00:35,F1-AC1,21.97
2026-02-14 09:00:40,F1-AC1,22.01
2026-02-14 09:00:45,F1-AC1,22.01
2026-02-14 09:00:50,F1-AC1,22.07
2026-02-14 09:00:55,F1-AC1,22.04
2026-02-14 09:01:00,F1-AC1,21.96
2026-02-14 09:01:05,F1-AC1,22.07
2026-02-14 09:01:10,F1-AC1,22.08
2026-02-14 09:01:15,F1-AC1,22.0
2026-02-14 09:01:20,F1-AC1,22.07
2026-02-14 09:01:25,F1-AC1,22.17
2026-02-14 09:01:30,F1-AC1,22.11
2026-02-14 09:01:35,F1-AC1,22.01
2026-02-14 09:01:40,F1-AC1,22.13
2026-02-14 09:01:45,F1-AC1,22.12
2026-02-14 09:01:50,F1-AC1,21.98
2026-02-14 09:01:55,F1-AC1,22.03
2026-02-14 09:02:00,F1-AC1,22.07
2026-02-14 09:02:05,F1-AC1,21.99
2026-02-14 09:02:10,F1-AC1,22.08
2026-02-14 09:02:15,F1-AC1,22.1
2026-02-14 09:02:20,F1-AC1,21.99
2026-02-14 09:02:25,F1-AC1,22.12
2026-02-14 09:02:30,F1-AC1,22.21
2026-02-14 09:02:35,F1-AC1,22.17
2026-02-14 09:02:40,F1-AC1,22.2
2026-02-14 09:02:45,F1-AC1,22.23
2026-02-14 09:02:50,F1-AC1,22.08
2026-02-14 09:02:55,F1-AC1,22.2
2026-02-14 09:03:00,F1-AC1,22.04
2026-02-14 09:03:05,F1-AC1,22.21
2026-02-14 09:03:10,F1-AC1,22.11
2026-02-14 09:03:15,F1-AC1,22.2
2026-02-14 09:03:20,F1-AC1,22.15
2026-02-14 09:03:25,F1-AC1,22.06
2026-02-14 09:03:30,F1-AC1,22.03
2026-02-14 09:03:35,F1-AC1,22.1
2026-02-14 09:03:40,F1-AC1,22.05
2026-02-14 09:03:45,F1-AC1,22.12
2026-02-14 09:03:50,F1-AC1,22.19
2026-02-14 09:03:55,F1-AC1,22.08
2026-02-14 09:04:00,F1-AC1,22.08
2026-02-14 09:04:05,F1-AC1,22.07
2026-02-14 09:04:10,F1-AC1,22.08
2026-02-14 09:04:15,F1-AC1,22.19
2026-02-14 09:04:20,F1-AC1,22.16
2026-02-14 09:04:25,F1-AC1,22.29
2026-02-14 09:04:30,F1-AC1,22.08
2026-02-14 09:04:35,F1-AC1,22.28
2026-02-14 09:04:40,F1-AC1,22.15
2026-02-14 09:04:45,F1-AC1,22.14
2026-02-14 09:04:50,F1-AC1,22.24
2026-02-14 09:04:55,F1-AC1,22.2
2026-02-14 09:05:00,F1-AC1,22.31
2026-02-14 09:05:05,F1-AC1,22.31
2026-02-14 09:05:10,F1-AC1,22.31
2026-02-14 09:05:15,F1-AC1,22.15
2026-02-14 09:05:20,F1-AC1,22.15
2026-02-14 09:05:25,F1-AC1,22.31
2026-02-14 09:05:30,F1-AC1,22.32
2026-02-14 09:05:35,F1-AC1,22.32
2026-02-14 09:05:40,F1-AC1,22.33
2026-02-14 09:05:45,F1-AC1,22.28
2026-02-14 09:05:50,F1-AC1,22.34
2026-02-14 09:05:55,F1-AC1,22.32
2026-02-14 09:06:00,F1-AC1,22.25
2026-02-14 09:06:05,F1-AC1,22.18
2026-02-14 09:06:10,F1-AC1,22.27
2026-02-14 09:06:15,F1-AC1,22.27
2026-02-14 09:06:20,F1-AC1,22.21
2026-02-14 09:06:25,F1-AC1,22.18
2026-02-14 09:06:30,F1-AC1,22.33
2026-02-14 09:06:35,F1-AC1,22.25
2026-02-14 09:06:40,F1-AC1,22.29
2026-02-14 09:06:45,F1-AC1,22.24
2026-02-14 09:06:50,F1-AC1,22.25
2026-02-14 09:06:55,F1-AC1,22.28
2026-02-14 09:07:00,F1-AC1,22.21
2026-02-14 09:07:05,F1-AC1,22.21
2026-02-14 09:07:10,F1-AC1,22.34
2026-02-14 09:07:15,F1-AC1,22.27
2026-02-14 09:07:20,F1-AC1,22.21
2026-02-14 09:07:25,F1-AC1,22.19
2026-02-14 09:07:30,F1-AC1,22.21
2026-02-14 09:07:35,F1-AC1,22.26
2026-02-14 09:07:40,F1-AC1,22.36
2026-02-14 09:07:45,F1-AC1,22.23
2026-02-14 09:07:50,F1-AC1,22.23
2026-02-14 09:07:55,F1-AC1,22.4
2026-02-14 09:08:00,F1-AC1,22.29
2026-02-14 09:08:05,F1-AC1,22.22
2026-02-14 09:08:10,F1-AC1,22.2
2026-02-14 09:08:15,F1-AC1,22.29
2026-02-14 09:08:20,F1-AC1,22.28
2026-02-14 09:08:25,F1-AC1,22.2
2026-02-14 09:08:30,F1-AC1,22.22
2026-02-14 09:08:35,F1-AC1,22.25
2026-02-14 09:08:40,F1-AC1,22.36
2026-02-14 09:08:45,F1-AC1,22.33
2026-02-14 09:08:50,F1-AC1,22.27
2026-02-14 09:08:55,F1-AC1,22.24
2026-02-14 09:09:00,F1-AC1,22.28
2026-02-14 09:09:05,F1-AC1,22.21
2026-02-14 09:09:10,F1-AC1,22.43
2026-02-14 09:09:15,F1-AC1,22.29
2026-02-14 09:09:20,F1-AC1,22.41
2026-02-14 09:09:25,F1-AC1,22.36
2026-02-14 09:09:30,F1-AC1,22.29
2026-02-14 09:09:35,F1-AC1,22.25
2026-02-14 09:09:40,F1-AC1,22.41
2026-02-14 09:09:45,F1-AC1,22.38
2026-02-14 09:09:50,F1-AC1,22.36
2026-02-14 09:09:55,F1-AC1,22.45
2026-02-14 09:10:00,F1-AC1,22.39
2026-02-14 09:10:05,F1-AC1,22.3
2026-02-14 09:10:10,F1-AC1,22.3
2026-02-14 09:10:15,F1-AC1,22.27
2026-02-14 09:10:20,F1-AC1,22.25
2026-02-14 09:10:25,F1-AC1,22.46
2026-02-14 09:10:30,F1-AC1,22.34
2026-02-14 09:10:35,F1-AC1,22.35
2026-02-14 09:10:40,F1-AC1,22.44
2026-02-14 09:10:45,F1-AC1,22.27
2026-02-14 09:10:50,F1-AC1,22.27
2026-02-14 09:10:55,F1-AC1,22.44
2026-02-14 09:11:00,F1-AC1,22.48
2026-02-14 09:11:05,F1-AC1,22.48
2026-02-14 09:11:10,F1-AC1,22.3
2026-02-14 09:11:15,F1-AC1,22.38
2026-02-14 09:11:20,F1-AC1,22.44
2026-02-14 09:11:25,F1-AC1,22.39
2026-02-14 09:11:30,F1-AC1,22.48
2026-02-14 09:11:35,F1-AC1,22.39
2026-02-14 09:11:40,F1-AC1,22.47
2026-02-14 09:11:45,F1-AC1,22.38
2026-02-14 09:11:50,F1-AC1,22.43
